eps,n_flagged,flag_rate,emp_FA_rate,recall,precision,n_TP,n_FP,variant
0.005,76,0.00816326530612245,0.005167577144544515,0.016160819865983445,0.5394736842105263,41,35,B
0.01,137,0.014715359828141783,0.008268123431271224,0.03192747339377217,0.5912408759124088,81,56,B
0.02,222,0.023845327604726102,0.012254540085634135,0.05478912100906583,0.6261261261261262,139,83,B
0.05,492,0.05284640171858217,0.029824302377085485,0.11430823807646827,0.5894308943089431,290,202,B
0.1,890,0.09559613319011816,0.06289679610217039,0.18289318092234924,0.5213483146067416,464,426,B
