eps,n_flagged,flag_rate,emp_FA_rate,recall,precision,n_TP,n_FP,variant
0.005,1142,0.004802092400331353,0.004364073708174048,0.025184889066560065,0.11033274956217162,126,1016,A
0.01,2268,0.009536905047243001,0.008629354409174863,0.05176893863681791,0.11419753086419752,259,2009,A
0.02,4542,0.019099040002018394,0.017198573944418195,0.10753547871277233,0.11845002201673271,538,4004,A
0.05,11457,0.04817650843309659,0.04376530217774151,0.25344793124125525,0.1106746966919787,1268,10189,A
0.1,23864,0.1003477522254881,0.09279670117263004,0.45172896262242657,0.09470331880657057,2260,21604,A
