rule,A_recall,n_pos,B_recall
rule_hard_brake,0.2547632008709853,3674,0.059416445623342175
rule_anomalous_stop,0.005291005291005291,378,0.06593406593406594
rule_path_deviation,0.35470527404343327,967,0.31994645247657294
rule_close_conflict,0.09779179810725552,317,0.041353383458646614
