eps,n_events,n_detected_in_advance,n_detected_at_event,n_missed,median_lead_s,max_lead_s
0.005,2538,19,49,2470,2.2266710965891985,7.800974489625839
0.01,2538,38,85,2415,2.6298849473690935,17.65548800259471
0.02,2538,87,137,2314,4.691813867310165,19.33643426264478
0.05,2538,208,222,2108,5.3794522298083045,28.319130459674966
0.1,2538,333,319,1886,5.076500600118076,28.319130459674966
